Price,Property Type,Number Of Bedrooms,Number Of Bathrooms,Area,Location
"7,500,000 SAR",Villa,7+,7+,"1,100 sqm","Al Muhammadiyah, Jeddah, Makkah Al Mukarramah"
"1,250,000 SAR",Full Floor,3,3,230 sqm,"Al Khalij, Riyadh, Ar Riyadh"
"1,650,000 SAR",Full Floor,5,4,195 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"6,000,000 SAR",Apartment,4,4,441 sqm,"Ash Shati, Jeddah, Makkah Al Mukarramah"
"670,000 SAR",Apartment,5,3,162 sqm,"An Nuzhah, Jeddah, Makkah Al Mukarramah"
"25,000,000 SAR",Villa,5,7+,"3,000 sqm","Ar Rimal, Riyadh, Ar Riyadh"
"3,267,000 SAR",Villa,5,7+,400 sqm,"Al Sawari, Jeddah, Makkah Al Mukarramah"
"730,000 SAR",Apartment,5,4,185 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"669,000 SAR",Apartment,3,3,525 sqm,"An Naim, Jeddah, Makkah Al Mukarramah"
"1,350,000 SAR",Villa,"Ar Rahmanyah, Jeddah, Makkah Al Mukarramah",7+,250 sqm,FEATURED
"1,500,000 SAR",Villa,"Al Hada, Jeddah, Makkah Al Mukarramah",7+,312 sqm,FEATURED
"1,400,000 SAR",Villa,"Al Qryniah, Jeddah, Makkah Al Mukarramah",7+,450 sqm,FEATURED
"5,500,000 SAR",Apartment,3,5,441 sqm,"Abhur Al Janubiyah, Jeddah, Makkah Al Mukarramah"
"1,550,000 SAR",Villa,"Al Qryniah, Jeddah, Makkah Al Mukarramah",7,450 sqm,FEATURED
"6,500,000 SAR",Apartment,4,5,430 sqm,"Ash Shati, Jeddah, Makkah Al Mukarramah"
"1,250,000 SAR",Apartment,3,4,149 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"660,000 SAR",Apartment,5,4,158 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"2,000,000 SAR",Villa,4,7+,312 sqm,"Al Yaqoot, Jeddah, Makkah Al Mukarramah"
"2,500,000 SAR",Villa,5,5,330 sqm,"Al Loaloa, Jeddah, Makkah Al Mukarramah"
"1,050,000 SAR",Apartment,6,5,238 sqm,"As Safa, Jeddah, Makkah Al Mukarramah"
"7,000,000 SAR",Villa,7+,6,561 sqm,"Jeddah, Makkah Al Mukarramah"
"1,000,000 SAR",Apartment,4,3,174 sqm,"Al Faisaliyah, Jeddah, Makkah Al Mukarramah"
"1,350,000 SAR",Villa,5,6,303 sqm,"Ar Rimal, Riyadh, Ar Riyadh"
"780,000 SAR",Apartment,4,3,124 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"2,500,000 SAR",Villa,5,5,250 sqm,"King Faisal, Riyadh, Ar Riyadh"
"1,244,000 SAR",Apartment,3,3,82 sqm,"Al Munisiyah, Riyadh, Ar Riyadh"
"470,000 SAR",Apartment,4,3,128 sqm,"An Nakhil, Jeddah, Makkah Al Mukarramah"
"1,950,000 SAR",Full Floor,5,5,204 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"1,950,000 SAR",Full Floor,5,5,187 sqm,"Qurtubah, Riyadh, Ar Riyadh"
"930,000 SAR",Apartment,5,4,680 sqm,"Az Zahra, Jeddah, Makkah Al Mukarramah"
"640,000 SAR",Apartment,4,3,600 sqm,"As Salamah, Jeddah, Makkah Al Mukarramah"
"640,000 SAR",Apartment,4,4,600 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"650,000 SAR",Apartment,5,3,164 sqm,"Ar Rihab, Jeddah, Makkah Al Mukarramah"
"450,000 SAR",Apartment,3,2,102 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"3,500,000 SAR",Whole Building,7+,7+,340 sqm,"Ash Sharafiyah, Jeddah, Makkah Al Mukarramah"
"1,200,000 SAR",Apartment,3,3,154 sqm,"Al Faiha, Jeddah, Makkah Al Mukarramah"
"680,000 SAR",Apartment,5,3,161 sqm,"Al Marwah, Jeddah, Makkah Al Mukarramah"
"2,000,000 SAR",Villa,7+,5,312 sqm,"Al Yaqoot, Jeddah, Makkah Al Mukarramah"
"1,200,000 SAR",Villa,"Ar Rahmanyah, Jeddah, Makkah Al Mukarramah",6,300 sqm,FEATURED
"1,800,000 SAR",Villa,"Az Zomorod, Jeddah, Makkah Al Mukarramah",7+,375 sqm,FEATURED
"1,100,000 SAR",Apartment,4,4,196 sqm,"Ar Rawdah, Jeddah, Makkah Al Mukarramah"
"1,850,000 SAR",Villa,"Ar Rahmanyah, Jeddah, Makkah Al Mukarramah",7+,474 sqm,FEATURED
"1,350,000 SAR",Villa,"Ar Rahmanyah, Jeddah, Makkah Al Mukarramah",7+,250 sqm,FEATURED
"2,200,000 SAR",Villa,"Abhur Ash Shamaliyah, Jeddah, Makkah Al Mukarramah",7+,312 sqm,FEATURED
"1,500,000 SAR",Villa,"Al Sawari, Jeddah, Makkah Al Mukarramah",7,381 sqm,FEATURED
